STT,Nhóm công nghệ (Category),Phương pháp sản xuất (EN),Dịch nghĩa kỹ thuật & Diễn giải (VN),Đạt (TRUE/FALSE),Quy mô máy / Thông số,Dung sai / Tiêu chuẩn,Ghi chú
1,1. CNC Machining,Milling,Phay CNC 3 trục / 4 trục (Vertical / Horizontal Machining Center),FALSE,,,
2,1. CNC Machining,Milling 5 axes,Phay CNC 5 trục đồng thời / 3+2 trục chính xác cao,FALSE,,,
3,1. CNC Machining,Milling mass,Phay sản xuất hàng loạt / khối lượng lớn (Mass Production),FALSE,,,
4,1. CNC Machining,Turning,"Tiện CNC tiêu chuẩn (2 trục X, Z)",FALSE,,,
5,1. CNC Machining,Turning 2+ axes,"Tiện CNC đa trục (Tiện phay kết hợp Live Tooling / C-axis, Y-axis)",FALSE,,,
6,1. CNC Machining,Turning Automat,Tiện đùn tự động kiểu Thụy Sĩ (Swiss Lathe / Auto Screw Machining),FALSE,,,
7,1. CNC Machining,Grinding,"Mài chính xác (Mài phẳng Surface, mài tròn Cylindrical, mài vô tâm)",FALSE,,,
8,1. CNC Machining,Polishing,Đánh bóng cơ học / Hoàn thiện bóng gương bề mặt chi tiết,FALSE,,,
9,1. CNC Machining,Slotting,Xọc rãnh then / Cắt rãnh kỹ thuật (Slotting / Broaching),FALSE,,,
10,1. CNC Machining,Liner Honing,"Doa chính xác / Đánh bóng honing lòng xi lanh, ống lót",FALSE,,,
11,1. CNC Machining,Thread Rolling,Cán ren / Lăn ren áp lực cao (Độ bền ren vượt trội),FALSE,,,
12,2. Sheet Metal & Fabrication,Laser Cutting,"Cắt Laser Fiber kim loại tấm (Thép, Inox, Nhôm, Đồng)",FALSE,,,
13,2. Sheet Metal & Fabrication,Waterjet Cutting,"Cắt tia nước có hạt mài (Cắt kim loại dày, đá, composite, không sinh nhiệt)",FALSE,,,
14,2. Sheet Metal & Fabrication,Plasma/Gas Cutting,Cắt Plasma CNC / Cắt Oxy-Gas bản mã thép tấm dày,FALSE,,,
15,2. Sheet Metal & Fabrication,Bending Sheet,Chấn / Gập tôn tấm CNC (Press Brake),FALSE,,,
16,2. Sheet Metal & Fabrication,Bending Tube,Uốn ống kim loại định hình (Tube Bending),FALSE,,,
17,2. Sheet Metal & Fabrication,Bending Wire,Uốn dây kim loại / Dây thép định hình CNC (Wire Bending),FALSE,,,
18,2. Sheet Metal & Fabrication,Bending bar,Uốn thanh / Thép hình / Thép cây (Bar Bending),FALSE,,,
19,2. Sheet Metal & Fabrication,Punching,Đột dập CNC kim loại tấm (CNC Turret Punching),FALSE,,,
20,2. Sheet Metal & Fabrication,Stamping,Dập định hình liên hoàn / Dập khuôn khối (Progressive / Deep Draw Stamping),FALSE,,,
21,"3. Casting, Molding & Forming",Sand molded casting,"Đúc khuôn cát (Sand Casting) - Gang, Thép, Hợp kim",FALSE,,,
22,"3. Casting, Molding & Forming",Metal Injection Molding,"Ép phun kim loại (MIM) - Chi tiết nhỏ, độ phức tạp cao",FALSE,,,
23,"3. Casting, Molding & Forming",Compression Molding,"Ép nén định hình (Cao su, composite, nhựa nhiệt rắn)",FALSE,,,
24,"3. Casting, Molding & Forming",Investment Casting,Đúc mẫu chảy chính xác (Đúc sáp / Mất sáp Lost-wax Casting),FALSE,,,
25,"3. Casting, Molding & Forming",Ceramic Injection Molding,Ép phun gốm kỹ thuật cao (CIM),FALSE,,,
26,"3. Casting, Molding & Forming",LSR Injection Molding,Ép phun cao su Silicone lỏng (Liquid Silicone Rubber),FALSE,,,
27,"3. Casting, Molding & Forming",Die cutting,"Bế cắt khuôn định hình (Gioăng, seal, màng nhựa, đệm xốp)",FALSE,,,
28,"3. Casting, Molding & Forming",Extrusion,"Đùn ép định hình (Đùn nhôm định hình, đùn nhựa profile)",FALSE,,,
29,"3. Casting, Molding & Forming",Pressure Forming,Tạo hình áp lực cao kim loại / tấm,FALSE,,,
30,"3. Casting, Molding & Forming",Twin Sheet Forming,Định hình nhiệt hai tấm rỗng chân không (Twin Sheet Thermoforming),FALSE,,,
31,"3. Casting, Molding & Forming",Injection Molding,Ép phun nhựa nhiệt dẻo tiêu chuẩn (Plastic Injection Molding),FALSE,,,
